Link	New name	Change	Who Number	Last name	Prop Lists	Rec Lists	Locator name	French	Spanish	Russian	Arabic	Chinese	Phonetic	Molecular formula	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=1	hydralazine		1	hydralazine	1	1	hydralazine [INN]	hydralazine	hidralazina	гидралазин	هيدرالازين	肼屈嗪	hidralazine	C8H8N4	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=2	metharbital		2	metharbital	1	1	metharbital [INN]	métharbital	metarbital	метарбитал	ميثاربيتال  	美沙比妥	metarbital	C9H14N2O3	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=3	iopanoic acid		3	iopanoic acid	1	1	iopanoic acid [INN]	acide iopanoïque	ácido iopanoico	йопаноевая кислота	حمض إيوبانويك	碘番酸	iopanoic iopanoate	C11H12I3NO2	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=4	phenylbutazone		4	phenylbutazone	1, 87, 88, 89, 90, 91	1	phenylbutazone [INN]	phénylbutazone	fenilbutazona	фенилбутазон	فينيلبوتازون	保泰松	fenilbutazone	C19H20N2O2	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=5	aceturate		5	aceturate	22	1	aceturate [INN]	acéturate	aceturato	ацетурат	أسيتيرات	醋甘氨酸盐(或酯)	aceturate	C4H6NO3 (anion) or C4H7NO3 (acid)	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=6	talbutal		6	talbutal	17	22	talbutal [INN]	talbutal	talbutal	талбутал	تالبوتال	他布比妥	talbutal	C11H16N2O3	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=7	butalbital		7	butalbital	4	9	butalbital [INN]	butalbital	butalbital	буталбитал	بوتالبيتال	布他比妥	butalbital	C11H16N2O3	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=8	brallobarbital		8	brallobarbital	41	19	brallobarbital [INN]	brallobarbital	bralobarbital	браллобарбитал	برالوباربيتال	溴烯比妥	brallobarbital	C10H11BrN2O3	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=10	heptabarb		10	heptabarb	14	6	heptabarb [INN]	heptabarbe	heptabarbo	гептабарб	هيبتابارب	环庚比妥	heptabarb	C13H18N2O3	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=14	thialbarbital		14	thialbarbital	4	3	thialbarbital [INN]	thialbarbital	tialbarbital	тиалбарбитал	ثيالباربيتال	硫烯比妥	tialbarbital	C13H16N2O2S	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=15	paroxypropione		15	paroxypropione	1	1	paroxypropione [INN]	paroxypropione	paroxipropiona	пароксипропион	باروكسي بروبيون	对羟苯丙酮	paroxipropione	C9H10O2	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=16	glycobiarsol		16	glycobiarsol	1	23	glycobiarsol [INN]	glycobiarsol	glicobiarsol	гликобиарсол	غليكوبيارسول	甘铋胂	glicobiarsol	C8H9AsBiNO6	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=17	camphotamide		17	camphotamide	1	1	camphotamide [INN]	camphotamide	canfotamida	камфотамид	كامفوتاميد  	樟吡他胺	camfotamide	C21H32N2O5S	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=18	parethoxycaine		18	parethoxycaine	1	1	parethoxycaine [INN]	paréthoxycaïne	paretoxicaína	парэтоксикаин	باريثوكسيكائين	对乙氧卡因	paretoxicaine	C15H23NO3	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=19	iproniazid		19	iproniazid	1	1	iproniazid [INN]	iproniazide	iproniazida	ипрониазид	إيبرونيازيد	异丙烟肼	iproniazid	C9H13N3O	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=20	oxyphenonium bromide		20	oxyphenonium bromide	1	1	oxyphenonium bromide [INN]	bromure d'oxyphénonium	bromuro de oxifenonio	оксифенония бромид	بروميد أوكسيفينونيوم	奥芬溴铵	oxifenonium	C21H34BrNO3	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=21	piridocaine		21	piridocaine	1	1	piridocaine [INN]	piridocaïne	piridocaína	пиридокаин	بيريدوكائين  	匹多卡因	piridocaine	C14H20N2O2	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=22	phentolamine		22	phentolamine	1	1	phentolamine [INN]	phentolamine	fentolamina	фентоламин	فينتولامين	酚妥拉明	fentolamine	C17H19N3O	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=23	phenindione		23	phenindione	41	19	phenindione [INN]	phénindione	fenindiona	фениндион	فينينديون	苯茚二酮	fenindione	C15H10O2	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=24	azamethonium bromide		24	azamethonium bromide	1	1	azamethonium bromide [INN]	bromure d'azaméthonium	bromuro de azametonio	азаметония бромид	بروميد أزاميثونيوم	阿扎溴铵	azametonium	C13H33Br2N3	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=25	hydroxyprocaine		25	hydroxyprocaine	1	1	hydroxyprocaine [INN]	hydroxyprocaïne	hidroxiprocaína	гидроксипрокаин	هيدروكسي بروكائين	羟普鲁卡因	hidroxiprocaine	C13H20N2O3	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=26	suxamethonium chloride		26	suxamethonium chloride	1		suxamethonium chloride [INN]	chlorure de suxaméthonium	cloruro de suxametonio	суксаметония хлорид	كلوريد سوكساميثونيوم	氯琥珀胆碱	suxametonium	C14H30Cl2N2O4	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=27	suxethonium chloride		27	suxethonium chloride	1	1	suxethonium chloride [INN]	chlorure de suxéthonium	cloruro de suxetonio	суксетония хлорид	كلوريد سوكسيثونيوم	琥乙氯铵	suxetonium	C16H34Cl2N2O4	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=28	racemorphan		28	racemorphan	1	1	racemorphan [INN]	racémorphane	racemorfano	рацеморфан	راسيمورفان	消旋啡烷	racemorfan	C17H23NO	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=29	racemethorphan		29	racemethorphan	1	1	racemethorphan [INN]	racéméthorphane	racemetorfano	рацеметорфан	راسيميثورفان	消旋甲啡烷	racemetorfan	C18H25NO	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=30	nalorphine		30	nalorphine	1	1	nalorphine [INN]	nalorphine	nalorfina	налорфин	نالورفين	烯丙吗啡	nalorfine	C19H21NO3	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=31	hydroxytetracaine		31	hydroxytetracaine	1	1	hydroxytetracaine [INN]	hydroxytétracaïne	hidroxitetracaína	гидрокситетракаин	هيدروكسي تتراكائين	羟丁卡因	hidroxitetracaine	C15H24N2O3	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=33	norepinephrine		33	norepinephrine	45	23	norepinephrine [INN]	norépinéphrine	norepinefrina	норэпинефрин	نوريبينيفرين	去甲肾上腺素	norepinefrine	C8H11NO3	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=34	metaraminol		34	metaraminol	1	1	metaraminol [INN]	métaraminol	metaraminol	метараминол	ميتارامينول	间羟胺	metaraminol	C9H13NO2	
https://mednet-communities.net/inn/db/ViewINN.aspx?i=35	methallenestril		35	methallenestril	6	3	methallenestril [INN]	méthallénestril	metalenestrilo	металленэстрил	ميثالينيستريل	美沙雌酸	metallenestril	C18H22O3	
